file_path,isbeauty,skill
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_221.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_177.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_42.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_179.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_203.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_124.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_47.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_34.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_91.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_89.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_133.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_213.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_231.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_93.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_209.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_29.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_48.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_30.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_5.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_7.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_77.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_156.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_23.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_197.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_161.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_195.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_19.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_20.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_131.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_165.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_182.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_105.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_196.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_108.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_24.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_88.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_225.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_14.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_193.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_117.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_190.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_216.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_224.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_18.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_12.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_233.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_1.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_69.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_152.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_96.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_55.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_120.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_36.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_33.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_128.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_214.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_25.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_217.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_115.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_2.jpg,beauty,balayage
/home/sumit/Documents/SEW/Dataset/pos/balayage/balayage_0.jpg,beauty,balayage
